auction_date_long,auction_desc,auction_house,auction_location,auction_name,chassis_number,image,link,link_v2,lot_description,price_eur_number,price_eur_string,price_gbp_number,price_gbp_string,price_usd_number,price_usd_string,reg_number,url,year,sourceUrl,status
24th Aug 2018,Gooding & Co • 2018 Pebble Beach Auction,Gooding & Co,United States,2018 Pebble Beach Auction,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/kANdCWlsL5ElxCia-t2oXTLGo8MqEfwxQLE6-T5pLAu_qFcZmIyEYIGXIhg-cZgHcn5uZIyOdsx7SWtFscNTkw.jpeg,/cars/ferrari/f40/1991/368205,/cars/ferrari/f40/368205,1991 Ferrari F40,897743,"€897,743",799350,"£799,350",1050000,"$1,050,000",,https://www.goodingco.com/#433361991ferrarif40,1991,https://www.theclassicvaluer.com,Sold
10th Feb 2018,Artcurial • Rétromobile 2018,Artcurial,France,Rétromobile 2018,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/KQGoTgLvD_3LtAEikpcYUfStANH2UOw0IP6EKyHnxsIjK6qst7i204NJqId1SwqSifRqmSl16bFDTqOeTY23UQ.jpeg,/cars/ferrari/f40/1990/228473,/cars/ferrari/f40/228473,1990 Ferrari F40,953600,"€953,600",834591,"£834,591",1188090,"$1,188,090",,https://www.artcurial.com/en/lot-1990-ferrari-f40-3279-86,1990,https://www.theclassicvaluer.com,Sold
7th Feb 2018,RM Sotheby's • Paris,RM Sotheby's,France,Paris,ZFFGJ34B000093710,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/JRXM31egOCpAPeib8mq2lTV_TJf6kX0J3Ww04aA0jKxAvVuq9vCdrQ1kC6_hOcCYOwHUy4iIRYhGu-dhtBnTLQ.jpeg,/cars/ferrari/f40/1992/126723,/cars/ferrari/f40/126723,1992 Ferrari F40,933125,"€933,125",827449,"£827,449",1151290,"$1,151,290",,https://rmsothebys.com/en/auctions/pa18/paris/lots/r0026-1992-ferrari-f40/578126,1992,https://www.theclassicvaluer.com,Sold
18th Jan 2018,Bonhams • The Scottsdale Auction,Bonhams,United States,The Scottsdale Auction,ZFFMN34A8M0088374,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/ux7EMbqUqj8KBMKA9rcPWH5DyTsmtGLy4ppkDW90X1LDdQ7oX6mOTVWVcE8yqtZ4j0-MLf8-IhmmVw2OtZ2cdg.jpeg,/cars/ferrari/f40/1991/126708,/cars/ferrari/f40/126708,1991 Ferrari F40,1236208,"€1,236,208",1.090434e+06,"£1,090,434",1512500,"$1,512,500",,https://www.bonhams.com/auctions/24452/lot/28/?category=list&length=10000&page=1,1991,https://www.theclassicvaluer.com,Sold
6th Dec 2017,RM Sotheby's • New York - ICONS,RM Sotheby's,United States,New York - ICONS,ZFFMN34AXL0087144,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/XnHXnRv7IOiKMPg4hmSbwsuB9S8nKT69FmYpI1ub22ai-JSIGIkADDOy_QjkcLIse1tPJHmCh56gt3w4vfBtkg.jpeg,/cars/ferrari/f40/1990/126689,/cars/ferrari/f40/126689,1990 Ferrari F40,1051451,"€1,051,451",928800,"£928,800",1242500,"$1,242,500",,https://rmsothebys.com/en/auctions/ny17/new-york---icons/lots/r010-1990-ferrari-f40/545604,1990,https://www.theclassicvaluer.com,Sold
9th Sep 2017,RM Sotheby's • Ferrari – Leggenda e Passione,RM Sotheby's,Italy,Ferrari – Leggenda e Passione,ZFFGJ34B000083572,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/CVgxduzQaLZotVozO4Z01r-0fvcsVP_721XFwsjQqqPyZ5cdXIb0dSbJcrcUtqfpdpboF6HtQxrVXslWj5gtfQ.jpeg,/cars/ferrari/f40/1989/126670,/cars/ferrari/f40/126670,1989 Ferrari F40,1079000,"€1,079,000",984782,"£984,782",1301274,"$1,301,274",,https://rmsothebys.com/en/auctions/ff17/ferrari---leggenda-e-passione/lots/r116-1989-ferrari-f40/449406,1989,https://www.theclassicvaluer.com,Sold
6th Sep 2017,RM Sotheby's • London,RM Sotheby's,United Kingdom,London,ZFFGJ34B000080786,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/FWr9n7HDiLXk8qnCurrBZ26HqQsdg1j7_o37_t0fO09pBQWCs65n6wxQh35sOwXQZzUgd6GWokQmODeAJ0Ve8Q.jpeg,/cars/ferrari/f40/1988/126664,/cars/ferrari/f40/126664,1988 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://rmsothebys.com/en/auctions/lf17/london/lots/r152-1988-ferrari-f40/459651,1988,https://www.theclassicvaluer.com,Not Sold
2nd Sep 2017,Silverstone Auctions • The Salon Privé Sale 2017,Silverstone Auctions,United Kingdom,The Salon Privé Sale 2017,ZFFGJ34B000080726,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/m-jX75YKiDQ4R6SkRMOAYmmUBrBIRaXBWDieUUnUaq0WEJuUzwbgiRJbrenlbycHsBeFsQKZshnHwV3f3VQFFQ.jpeg,/cars/ferrari/f40/1989/126671,/cars/ferrari/f40/126671,** Regretfully Withdrawn ** 1989 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,H172NPR,https://www.silverstoneauctions.com/events/2017-auctions/the-salon-prive-sale-2017/the-salon-prive-sale-2017-sale/cars/regretfully-withdrawn-1989-ferrari-f40,1989,https://www.theclassicvaluer.com,Not Sold
19th Aug 2017,RM Sotheby's • Monterey,RM Sotheby's,United States,Monterey,ZFFMN34A9M0087895,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/BEu_V_tRiLdzEXMdpbptAM5cipbycb9y3BJPFFPH-u3ZK6xeoO0HR1RWefqX9HLhAzjMjUoDqwg03ZxtMD6-nw.jpeg,/cars/ferrari/f40/1991/126709,/cars/ferrari/f40/126709,1991 Ferrari F40,1311755,"€1,311,755",1.196163e+06,"£1,196,163",1540000,"$1,540,000",,https://rmsothebys.com/en/auctions/mo17/monterey/lots/r151-1991-ferrari-f40/430480,1991,https://www.theclassicvaluer.com,Sold
18th Aug 2017,Bonhams • Quail Lodge Auction,Bonhams,United States,Quail Lodge Auction,ZFFMN34A6L0087030,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/b2_XkWu_WQ7YzYafmk9It86U3UyKboMTSzbPK4Q8e7TBcdAN8BfL2xoV11LrV5qmp1s0CQw4pt7FOpZIbjGHKw.jpeg,/cars/ferrari/f40/1990/126690,/cars/ferrari/f40/126690,1990 Ferrari F40,1241482,"€1,241,482",1.132083e+06,"£1,132,083",1457500,"$1,457,500",,https://www.bonhams.com/auctions/23977/lot/87/?category=list&length=10000&page=1,1990,https://www.theclassicvaluer.com,Sold
